pressure,temp,freshwaterDepth,saltwaterDepth
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
14.28534694000029,24.79,-0.2869933494098362,-0.27806838616288304
pressure,temp,freshwaterDepth,saltwaterDepth
14.287232430590782,24.79,-0.2856637294731548,-0.27678011495115196
14.287232430590782,24.79,-0.2856637294731548,-0.27678011495115196
14.287232430590782,24.79,-0.2856637294731548,-0.27678011495115196
14.287232430590782,24.79,-0.2856637294731548,-0.27678011495115196
14.287232430590782,24.79,-0.2856637294731548,-0.27678011495115196
14.287232430590782,24.79,-0.2856637294731548,-0.27678011495115196
14.287232430590782,24.79,-0.2856637294731548,-0.27678011495115196
14.287232430590782,24.79,-0.2856637294731548,-0.27678011495115196
